success,trial_type,trial_index,time_elapsed,internal_node_id,missTrial,missTrialMsg,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
,wl-rdm,28,123375,0.0-6.20-0.20,False,,0.0,28.0,,,,,,,[],,,,,,53.2,0.0,u,0.0,True,831.8999999761581,50.0,60.0,40.0,201.3504947991324,[],"[640, 512]",ColorTask,11.0,21.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,29,125891,0.0-6.21-0.21,False,,0.0,29.0,,,,,,,[],,,,,,62.5,1.0,i,1.0,True,1155.8999998569489,70.0,60.0,40.0,271.8510727834951,[],"[640, 512]",ColorTask,12.0,22.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,30,128073,0.0-6.22-0.22,False,,0.0,30.0,,,,,,,[],,,,,,62.5,0.0,u,0.0,True,707.3999999761581,43.0,60.0,40.0,398.5494278676646,[],"[640, 512]",ColorTask,13.0,23.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,31,130305,0.0-6.23-0.23,False,,0.0,31.0,,,,,,,[],,,,,,50.0,1.0,u,0.0,False,871.8999999761581,53.0,60.0,40.0,271.9992614936821,[],"[640, 512]",ColorTask,12.0,24.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,32,132621,0.0-6.24-0.24,False,,0.0,32.0,,,,,,,[],,,,,,62.5,1.0,i,1.0,True,1002.5999999046326,58.0,60.0,40.0,236.63416461547786,[],"[640, 512]",ColorTask,13.0,25.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,33,134687,0.0-6.25-0.25,False,,0.0,33.0,,,,,,,[],,,,,,53.2,0.0,u,0.0,True,764.9000000953674,46.0,60.0,40.0,233.24578215886342,[],"[640, 512]",ColorTask,14.0,26.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,34,138153,0.0-6.26-0.26,False,,0.0,34.0,,,,,,,[],,,,,,56.4,0.0,u,0.0,True,2063.5000001192093,124.0,60.0,40.0,328.87985299302386,[],"[640, 512]",ColorTask,15.0,27.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,35,140503,0.0-6.27-0.27,False,,0.0,35.0,,,,,,,[],,,,,,73.6,1.0,u,0.0,False,1024.9999998807907,62.0,60.0,40.0,236.0975402258279,[],"[640, 512]",ColorTask,14.0,28.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,36,142418,0.0-6.28-0.28,False,,0.0,36.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,622.0000001192093,38.0,60.0,40.0,216.21000029397038,[],"[640, 512]",ColorTask,15.0,29.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,37,144434,0.0-6.29-0.29,False,,0.0,37.0,,,,,,,[],,,,,,50.0,0.0,u,0.0,True,678.3999999761581,41.0,60.0,40.0,254.5822236639034,[],"[640, 512]",ColorTask,16.0,30.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,38,147101,0.0-6.30-0.30,False,,0.0,38.0,,,,,,,[],,,,,,53.2,0.0,i,1.0,False,1304.8999999761581,78.0,60.0,40.0,276.3767783129636,[],"[640, 512]",ColorTask,15.0,31.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,39,149482,0.0-6.31-0.31,False,,0.0,39.0,,,,,,,[],,,,,,53.2,1.0,i,1.0,True,988.8000000715256,59.0,60.0,40.0,331.8633629043503,[],"[640, 512]",ColorTask,16.0,32.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,40,151598,0.0-6.32-0.32,False,,0.0,40.0,,,,,,,[],,,,,,87.9,1.0,i,1.0,True,691.1999999284744,42.0,60.0,40.0,347.8069621943066,[],"[640, 512]",ColorTask,17.0,33.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,41,153765,0.0-6.33-0.33,False,,0.0,41.0,,,,,,,[],,,,,,50.0,0.0,u,0.0,True,802.8999999761581,46.0,60.0,40.0,289.79176523775675,[],"[640, 512]",ColorTask,18.0,34.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,42,155964,0.0-6.34-0.34,False,,0.0,42.0,,,,,,,[],,,,,,62.5,1.0,u,0.0,False,822.5000001192093,49.0,60.0,40.0,297.8605504671916,[],"[640, 512]",ColorTask,17.0,35.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,43,158246,0.0-6.35-0.35,False,,0.0,43.0,,,,,,,[],,,,,,62.5,1.0,u,0.0,False,898.6999999284744,52.0,60.0,40.0,327.5960959505505,[],"[640, 512]",ColorTask,16.0,36.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,44,160780,0.0-6.36-0.36,False,,0.0,44.0,,,,,,,[],,,,,,62.5,1.0,i,1.0,True,1210.6000000238419,73.0,60.0,40.0,243.479045554533,[],"[640, 512]",ColorTask,17.0,37.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,45,162765,0.0-6.37-0.37,False,,0.0,45.0,,,,,,,[],,,,,,62.5,0.0,u,0.0,True,688.3999999761581,41.0,60.0,40.0,228.99991198361323,[],"[640, 512]",ColorTask,18.0,38.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,46,165261,0.0-6.38-0.38,False,,0.0,46.0,,,,,,,[],,,,,,53.2,1.0,i,1.0,True,1072.5,64.0,60.0,40.0,351.3179934333706,[],"[640, 512]",ColorTask,19.0,39.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,47,167276,0.0-6.39-0.39,False,,0.0,47.0,,,,,,,[],,,,,,87.9,1.0,i,1.0,True,726.6000000238419,44.0,60.0,40.0,201.5593679854921,[],"[640, 512]",ColorTask,20.0,40.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,48,169659,0.0-6.40-0.40,False,,0.0,48.0,,,,,,,[],,,,,,50.0,0.0,i,1.0,False,1027.6999999284744,62.0,60.0,40.0,269.74467665604345,[],"[640, 512]",ColorTask,19.0,41.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,49,171925,0.0-6.41-0.41,False,,0.0,49.0,,,,,,,[],,,,,,56.4,1.0,i,1.0,True,974.6000000238419,59.0,60.0,40.0,228.85336773725732,[],"[640, 512]",ColorTask,20.0,42.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,50,174509,0.0-6.42-0.42,False,,0.0,50.0,,,,,,,[],,,,,,53.2,1.0,u,0.0,False,1290.7000000476837,76.0,60.0,40.0,222.32161645774954,[],"[640, 512]",ColorTask,19.0,43.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,51,176758,0.0-6.43-0.43,False,,0.0,51.0,,,,,,,[],,,,,,87.9,0.0,u,0.0,True,941.8000000715256,57.0,60.0,40.0,209.7244590528578,[],"[640, 512]",ColorTask,20.0,44.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,52,179056,0.0-6.44-0.44,False,,0.0,52.0,,,,,,,[],,,,,,53.2,1.0,u,0.0,False,930.1000000238419,57.0,60.0,40.0,283.6022632073863,[],"[640, 512]",ColorTask,19.0,45.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,53,181572,0.0-6.45-0.45,False,,0.0,53.0,,,,,,,[],,,,,,56.4,1.0,i,1.0,True,1236.2000000476837,74.0,60.0,40.0,201.44581027431445,[],"[640, 512]",ColorTask,20.0,46.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,54,183638,0.0-6.46-0.46,False,,0.0,54.0,,,,,,,[],,,,,,73.6,1.0,i,1.0,True,769.4999998807907,46.0,60.0,40.0,225.75769567134046,[],"[640, 512]",ColorTask,21.0,47.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,55,188037,0.0-6.47-0.47,True,RT_timeout ,0.0,54.0,,,,,,,[],,,,,,53.2,1.0,,,,,179.0,60.0,40.0,289.64100281781714,[],"[640, 512]",ColorTask,20.0,48.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,56,190853,0.0-6.48-0.48,False,,0.0,55.0,,,,,,,[],,,,,,56.4,0.0,u,0.0,True,1443.7000000476837,87.0,60.0,40.0,298.1218407015134,[],"[640, 512]",ColorTask,21.0,49.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,57,192969,0.0-6.49-0.49,False,,0.0,56.0,,,,,,,[],,,,,,87.9,0.0,u,0.0,True,705.3999998569489,42.0,60.0,40.0,346.0525542526424,[],"[640, 512]",ColorTask,22.0,50.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,58,195318,0.0-6.50-0.50,False,,0.0,57.0,,,,,,,[],,,,,,53.2,1.0,i,1.0,True,1067.7999999523163,63.0,60.0,40.0,215.04695880506418,[],"[640, 512]",ColorTask,23.0,51.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,59,197917,0.0-6.51-0.51,False,,0.0,58.0,,,,,,,[],,,,,,50.0,1.0,u,0.0,False,1317.3999999761581,77.0,60.0,40.0,205.94862036736643,[],"[640, 512]",ColorTask,22.0,52.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,60,200366,0.0-6.52-0.52,False,,0.0,59.0,,,,,,,[],,,,,,56.4,1.0,i,1.0,True,1074.2999999523163,64.0,60.0,40.0,299.17802693184046,[],"[640, 512]",ColorTask,23.0,53.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,61,202715,0.0-6.53-0.53,False,,0.0,60.0,,,,,,,[],,,,,,62.5,1.0,i,1.0,True,888.2000000476837,54.0,60.0,40.0,382.6785782669882,[],"[640, 512]",ColorTask,24.0,54.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,62,204947,0.0-6.54-0.54,False,,0.0,61.0,,,,,,,[],,,,,,56.4,0.0,u,0.0,True,758.0000001192093,46.0,60.0,40.0,357.2602447639048,[],"[640, 512]",ColorTask,25.0,55.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,63,207064,0.0-6.55-0.55,False,,0.0,62.0,,,,,,,[],,,,,,73.6,1.0,i,1.0,True,740.3000000715256,45.0,60.0,40.0,316.16090836560033,[],"[640, 512]",ColorTask,26.0,56.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,64,208997,0.0-6.56-0.56,False,,0.0,63.0,,,,,,,[],,,,,,87.9,1.0,i,1.0,True,642.9000000953674,39.0,60.0,40.0,227.16373463640812,[],"[640, 512]",ColorTask,27.0,57.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,65,211628,0.0-6.57-0.57,False,,0.0,64.0,,,,,,,[],,,,,,53.2,1.0,u,0.0,False,1287.8999999761581,77.0,60.0,40.0,257.5451996554465,[],"[640, 512]",ColorTask,26.0,58.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,66,214178,0.0-6.58-0.58,False,,0.0,65.0,,,,,,,[],,,,,,62.5,0.0,u,0.0,True,1227.7999999523163,73.0,60.0,40.0,251.48144355696203,[],"[640, 512]",ColorTask,27.0,59.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,67,218327,0.0-6.59-0.59,False,,0.0,66.0,,,,,,,[],,,,,,50.0,0.0,u,0.0,True,2691.100000023842,161.0,60.0,40.0,381.22090291052234,[],"[640, 512]",ColorTask,28.0,60.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,68,220559,0.0-6.60-0.60,False,,0.0,67.0,,,,,,,[],,,,,,56.4,1.0,i,1.0,True,913.8000000715256,54.0,60.0,40.0,233.38240493358063,[],"[640, 512]",ColorTask,29.0,61.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,69,223924,0.0-6.61-0.61,False,,0.0,68.0,,,,,,,[],,,,,,73.6,1.0,i,1.0,True,2002.5,119.0,60.0,40.0,297.5100316999724,[],"[640, 512]",ColorTask,30.0,62.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,70,226474,0.0-6.62-0.62,False,,0.0,69.0,,,,,,,[],,,,,,56.4,0.0,u,0.0,True,1216.2000000476837,74.0,60.0,40.0,220.85206143967412,[],"[640, 512]",ColorTask,31.0,63.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,71,229456,0.0-6.63-0.63,False,,0.0,70.0,,,,,,,[],,,,,,50.0,0.0,i,1.0,False,1547.3999999761581,93.0,60.0,40.0,380.357810685603,[],"[640, 512]",ColorTask,30.0,64.0,,,HRV,HRV_0153,2022-11-30 18:22:31
