trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
10,"[{'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 5236, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 4.92}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 5252, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 6.58}]",46653,1669831147412,burger,cherries,4.92,6.58,1.6600000000000001,NaN,NaN,NaN,NaN,False,50754,4101,1669831151513,4101,,HRV,HRV_0126,2022-11-30 18:11:05
11,"[{'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 5268, 'positionName': 'LEFT', 'positionCoords': [80.52, 179], 'bid': 7.79}, {'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 5330, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 2.32}]",50754,1669831151513,pear,burrito,7.79,2.32,-5.470000000000001,NaN,NaN,NaN,NaN,False,54776,4022,1669831155535,4022,,HRV,HRV_0126,2022-11-30 18:11:05
12,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 5346, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 9}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 5058, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.9}]",54777,1669831155536,cantaloupe,Grapes,9.0,8.9,-0.09999999999999964,NaN,NaN,NaN,NaN,False,58811,4034,1669831159570,4034,,HRV,HRV_0126,2022-11-30 18:11:05
13,"[{'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 13, 'loaded': True, 'loadedTime': 4915, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 5.15}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 13, 'loaded': True, 'loadedTime': 5392, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 3.73}]",58811,1669831159570,fried eggs,chicken nuggets2,5.15,3.73,-1.4200000000000004,NaN,NaN,NaN,NaN,False,62838,4027,1669831163597,4027,,HRV,HRV_0126,2022-11-30 18:11:05
14,"[{'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 14, 'loaded': True, 'loadedTime': 5330, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 2.32}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 14, 'loaded': True, 'loadedTime': 5424, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 5.3500000000000005}]",62838,1669831163597,burrito,mac & cheese,2.32,5.3500000000000005,3.0300000000000007,NaN,NaN,NaN,NaN,False,66855,4017,1669831167614,4017,,HRV,HRV_0126,2022-11-30 18:11:05
15,"[{'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 15, 'loaded': True, 'loadedTime': 5481, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 9.96}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 15, 'loaded': True, 'loadedTime': 5052, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.9}]",66855,1669831167614,blueberries,Grapes,9.96,8.9,-1.0600000000000005,NaN,NaN,NaN,NaN,False,70884,4029,1669831171643,4029,,HRV,HRV_0126,2022-11-30 18:11:05
16,"[{'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 16, 'loaded': True, 'loadedTime': 5497, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 5.54}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 16, 'loaded': True, 'loadedTime': 5513, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 5.8}]",70884,1669831171643,Tribe humus pita,hotdog w must,5.54,5.8,0.2599999999999998,NaN,NaN,NaN,NaN,False,74921,4037,1669831175680,4037,,HRV,HRV_0126,2022-11-30 18:11:05
17,"[{'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 17, 'loaded': True, 'loadedTime': 5497, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 5.54}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 17, 'loaded': True, 'loadedTime': 5528, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 8.69}]",74921,1669831175680,Tribe humus pita,salmon,5.54,8.69,3.1499999999999995,NaN,NaN,NaN,NaN,False,78933,4012,1669831179692,4012,,HRV,HRV_0126,2022-11-30 18:11:05
18,"[{'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 18, 'loaded': True, 'loadedTime': 5528, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 8.57}, {'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 18, 'loaded': True, 'loadedTime': 6395, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 9.25}]",78933,1669831179692,raspberries,popsicles,8.57,9.25,0.6799999999999997,NaN,NaN,NaN,NaN,False,83055,4122,1669831183814,4122,,HRV,HRV_0126,2022-11-30 18:11:05
19,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 19, 'loaded': True, 'loadedTime': 5544, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 7.890000000000001}, {'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 19, 'loaded': True, 'loadedTime': 5575, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 3.28}]",83055,1669831183814,mashed potato,baked potato,7.890000000000001,3.28,-4.610000000000001,NaN,NaN,NaN,NaN,False,87085,4030,1669831187844,4030,,HRV,HRV_0126,2022-11-30 18:11:05
